"","Country.Name..Full.","Start.Valid.Year","End.Valid.Year","ISO3.digit.Alpha"
"1","Afghanistan",1962,"Now","AFG"
"2","Africa CAMEU region, not elsewhere specified",1962,"2004","N/A"
"3","Albania",1962,"Now","ALB"
"4","Algeria",1962,"Now","DZA"
"5","American Samoa",1962,"Now","ASM"
"6","Andorra",1962,"Now","AND"
"7","Angola",1962,"Now","AGO"
"8","Anguilla",1981,"Now","AIA"
"9","Antarctica",1962,"Now","ATA"
"10","Antigua and Barbuda",1962,"Now","ATA"
"11","Areas, not elsewhere specified",1962,"Now","N/A"
"12","Argentina",1962,"Now","ARG"
"13","Armenia",1992,"Now","ARM"
"14","Aruba",1988,"Now","ABW"
"15","Australia",1962,"Now","AUS"
"16","Austria",1962,"Now","AUT"
"17","Azerbaijan",1992,"Now","AZE"
"18","Bahamas",1962,"Now","BHS"
"19","Bahrain",1962,"Now","BHR"
"20","Bangladesh",1972,"Now","BGD"
"21","Barbados",1962,"Now","BRB"
"22","Belarus",1992,"Now","BLR"
"23","Belgium",1999,"Now","BEL"
"24","Belgium-Luxembourg",1962,"1998","BEL"
"25","Belize",1962,"Now","BLZ"
"26","Benin",1962,"Now","BEN"
"27","Bermuda",1962,"Now","BMU"
"28","Bhutan",1962,"Now","BTN"
"29","Plurinational State of Bolivia",1962,"Now","BOL"
"30","Bonaire, Saint Eustatius and Saba",2011,"Now","BES"
"31","Bosnia Herzegovina",1992,"Now","BIH"
"32","Botswana",2000,"Now","BWA"
"33","Ile Bouvet",1962,"Now","N/A"
"34","British Antarctic Territories",1962,"Now","N/A"
"35","British Indian Ocean Territories",1962,"Now","IOT"
"36","British Virgin Islands",1962,"Now","VGB"
"37","Brazil",1962,"Now","BRA"
"38","Brunei Darussalam",1962,"Now","BRN"
"39","Bulgaria",1962,"Now","BGR"
"40","Bunkers",1962,"Now","N/A"
"41","Burkina Faso",1962,"Now","BFA"
"42","Burundi",1962,"Now","BDI"
"43","Cabo Verde",1962,"Now","CPV"
"44","CACM, not elsewhere specified",1962,"2004","N/A"
"45","Cambodia",1962,"Now","KHM"
"46","Cameroon",1962,"Now","CMR"
"47","Canada",1962,"Now","CAN"
"48","Caribbean, not elsewhere specified",1962,"2004","N/A"
"49","Cayman Islands",1962,"Now","CYM"
"50","Central African Republic",1962,"Now","CAF"
"51","Chad",1962,"Now","TCD"
"52","Chile",1962,"Now","CHL"
"53","China",1962,"Now","CHN"
"54","China, Hong Kong Special Administrative Region",1962,"Now","HKG"
"55","China, Macao Special Administrative Region",1962,"Now","MAC"
"56","Christmas Islands",1962,"Now","CXR"
"57","Cocos Islands",1962,"Now","CCK"
"58","Colombia",1962,"Now","COL"
"59","Comoros",1962,"Now","COM"
"60","Congo",1962,"Now","COG"
"61","Cook Islands",1962,"Now","COK"
"62","Costa Rica",1962,"Now","CRI"
"63","C“te d'Ivoire",1962,"Now","CIV"
"64","Croatia",1992,"Now","HRV"
"65","Cuba",1962,"Now","CUB"
"66","Cura‡ao",2010,"Now","CUW"
"67","Cyprus",1962,"Now","CYP"
"68","Czechia",1993,"Now","CZE"
"69","Czechoslovakia",1962,"1992","CSK"
"70","Democratic People's Republic of Korea",1962,"Now","PRK"
"71","Democratic Republic of the Congo",1962,"Now","COD"
"72","Denmark",1962,"Now","DNK"
"73","Djibouti",1962,"Now","DJI"
"74","Dominica",1962,"Now","DMA"
